numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,CvsLogEntropy,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
3,10.3948,8,9.38587,3,23,2,1,1,1,13,4,1.01,1,4,0,0,0,8,0,2,1
13,23.5832,33,9.83852,15,257,20,1,7,190,77,19,7.45,22,14,22,9.14,0,38,0,9,1
7,11.215,59,9.39468,5,140,19,1,44,171,54,49,2.02,10,7,9,4.05,2.02,15,9,19,1
0,3.37801,14,9.16485,4,47,11,2,7,55,23,11,1.07,6,2,5,4.06,1.01,4,15,11,1
1,0,2,0,1,9,2,1,4,1,3,5,0,2,0,2,2.02,0,1,9,1,1
1,1.84703,17,9.09329,10,56,6,1,1,15,42,11,0,8,1,8,0,2.02,3,9,2,1
6,7.56208,21,9.37895,9,96,16,1,34,120,56,43,3.08,5,11,5,14.26,1.01,13,9,16,0
0,0,1,0,0,3,1,1,0,0,2,0,0,22,0,1,0,0,1,0,1,1
3,7.90933,9,9.27465,1,34,4,3,3,6,9,4,0,2,3,2,3.03,3.05,6,27,3,1
2,8.15599,8,9.29824,0,24,2,1,2,1,12,2,1.05,1,5,0,1.02,2.02,7,9,2,1
3,1.49003,1,0.121386,2,3,2,3,1,1,4,3,0,0,0,0,0,1.1,3,39,2,1
7,14.3573,41,9.54031,3,148,30,1,4,435,65,7,3.21,14,9,9,6.07,3.14,14,9,29,1
2,1.84703,34,9.09329,8,165,9,3,0,36,64,8,2.32,7,4,7,2.07,2.02,5,28,1,1
0,0,12,0,3,42,17,1,6,136,21,9,1.01,6,1,6,1.01,0,2,9,12,1
0,1.84703,1,9.09329,0,6,1,1,1,0,2,1,0,5,2,0,0,1.01,2,9,1,1
1,0,3,0,0,10,3,2,3,3,3,3,0,0,1,0,0,0,1,55,3,1
5,2.38141,3,9.07779,1,9,4,2,1,6,5,2,0,0,0,0,0,1.1,5,22,1,1
0,3.24474,5,9.14866,1,19,5,1,0,10,8,1,0,1,2,1,0,2.02,3,9,5,1
1,0,1,0,0,2,1,1,0,0,1,0,0,30,1,1,0,0,1,0,0,1
0,0,1,0,1,3,1,3,0,0,2,1,0,0,0,0,0,0,1,14,0,1
4,11.2946,6,9.4156,2,25,3,1,1,3,11,2,1.01,2,7,1,1.01,0,11,0,2,1
2,2.38141,39,9.07779,2,118,25,1,10,300,46,12,0,11,0,0,1.05,0,2,9,23,1
1,0,10,0,2,37,8,1,3,28,14,5,0,5,1,5,0,0,1,9,8,1
4,5.94514,727,9.22122,3,7509,109,2,0,5886,1266,3,14.6,5,5,4,3.13,5.51,7,106,98,1
0,0,2,0,2,8,2,1,1,1,8,3,0,0,0,0,1.01,0,0,0,1,1
2,8.32124,3,9.29455,1,12,3,2,2,3,8,2,0,2,3,2,0,2.04,6,30,3,1
1,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,1
6,10.4346,13,9.38185,4,37,3,1,0,3,13,4,1.01,0,9,0,1.01,0,16,0,3,1
2,3.40309,21,0.10696,11,129,9,1,4,36,51,15,1.02,2,2,2,2.02,2.02,4,9,8,1
1,3.17351,0,9.13106,0,0,1,1,1,0,1,1,0,0,2,0,0,2.02,3,9,1,1
3,4.62003,15,9.23113,11,62,6,1,2,15,35,13,1.02,3,4,3,2.02,1.01,7,12,6,1
3,1.49003,16,0.121386,8,66,4,3,1,6,28,9,0,8,0,7,0,1.1,3,43,4,1
4,5.54403,14,9.25225,4,187,6,2,0,15,21,4,1.02,4,8,4,2.03,5.07,12,32,2,0
4,12.9528,7,9.4646,1,25,7,1,0,21,14,1,0,5,9,4,1.01,2.02,12,9,7,1
1,0,14,0,6,58,2,1,1,1,40,7,2.03,1,0,1,2.02,0,3,0,1,0
4,3.4091,2,9.16273,2,12,2,2,1,1,7,3,2.67,0,4,0,3.04,1.07,7,7,1,1
1,3.83243,7,9.16133,0,20,7,1,3,21,7,3,0,3,4,3,0,2.02,4,9,7,1
3,1.49003,2,0.121386,1,7,2,1,2,1,3,3,0,2,0,1,0,0,3,0,2,1
5,6.12798,5,9.2369,1,14,6,2,1,15,7,2,1.05,1,8,1,1.01,5.15,9,13,6,1
1,1.84703,12,9.09329,1,38,4,1,0,6,16,1,0,0,2,0,0,0,2,0,4,1
2,4.81344,0,9.22957,0,0,4,1,7,6,4,7,0,0,4,0,6.09,1.01,4,9,4,1
4,5.94514,18,9.22122,2,49,8,2,0,28,17,2,0,4,5,4,1.02,2.06,7,39,8,1
2,2.73274,10,0.076061,3,43,8,2,2,28,14,5,0,1,0,0,4.06,2.02,2,63,2,1
0,1.45219,3,0.040996,0,10,3,1,2,3,3,2,0,2,0,0,0,2.02,0,9,3,1
1,0,8,0,1,34,5,1,0,10,13,1,0,3,1,3,0,0,1,0,2,1
4,5.94514,28,9.22122,6,65,10,2,0,45,29,6,0,5,5,5,1.02,2.06,7,33,10,1
3,1.49003,7,0.121386,1,26,7,1,4,21,13,5,0,6,0,6,1.01,0,3,15,7,1
1,3.33706,17,9.21468,6,79,6,1,1,15,41,7,0,2,1,1,0,0,3,0,3,1
5,11.7183,40,9.42693,2,109,3,2,1,3,29,3,2.03,4,12,0,4.04,2.02,16,17,2,1
1,1.84703,1,9.09329,1,3,2,1,0,1,5,1,0,0,1,0,2.02,2.02,2,9,2,1
1,3.37801,14,9.16485,7,54,6,1,0,15,28,7,1.08,2,2,2,2.03,0,7,0,5,0
1,4.17741,10,9.19476,2,46,9,1,1,36,22,3,0,1,2,1,0,1.01,4,11,9,1
13,22.1164,62,9.7593,14,257,18,1,19,153,107,31,8.36,11,19,9,14.16,0,31,0,16,0
3,1.49003,11,0.121386,2,55,6,2,5,15,24,7,0,3,0,3,1.01,3.09,3,37,6,1
1,1.84703,3,9.09329,6,29,3,1,1,3,14,7,0,1,2,1,1.01,0,3,0,1,1
3,7.29077,4,9.29024,0,14,4,3,4,6,4,4,0,2,6,2,2.02,7.37,7,50,4,1
0,4.01306,10,9.18069,8,42,5,1,2,10,27,10,0,2,3,1,1.01,1.01,5,9,5,1
2,1.49003,3,0.121386,2,9,2,2,1,1,4,3,1.01,0,0,0,1.01,0,2,21,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,3,1,1,0,0,1,0,1,1
1,4.68247,5,9.20611,1,15,5,4,2,10,6,3,1.02,2,4,0,2.02,4.17,7,51,5,1
4,7.52569,2,9.29227,2,6,2,1,0,1,4,2,0,0,4,0,0,0,6,0,2,1
9,16.0226,3,9.60603,5,12,1,1,3,0,8,8,2.06,1,8,0,1.06,2.02,15,9,1,1
0,1.45219,12,0.040996,4,55,2,1,0,1,26,4,0,0,0,0,0,2.02,0,9,1,1
2,1.49003,15,0.121386,0,39,9,2,35,36,15,35,0,3,0,0,3.13,1.1,2,30,9,1
1,0,4,0,2,24,3,1,1,3,9,3,0,4,0,4,0,0,1,9,3,1
3,4.17741,22,9.19476,3,65,9,1,6,36,42,9,1.01,2,3,2,3.03,1.01,5,9,9,1
2,4.58293,3,9.17116,0,10,3,1,3,3,3,3,0,3,2,3,3.03,2.04,4,18,3,1
1,0,10,0,2,120,6,1,1,15,15,3,0,4,1,4,0,0,2,9,4,0
3,8.93341,11,0.236153,5,56,2,1,0,1,21,5,0,1,4,1,3.03,2.02,8,9,1,1
1,0,3,0,1,66,1,1,0,0,8,1,0,0,0,0,0,2.02,1,9,1,1
4,11.108,3,9.41768,9,21,2,1,1,1,14,10,1.01,1,9,1,3.03,2.02,13,9,2,1
3,1.49003,3,0.121386,0,9,4,2,1,6,5,1,0,0,0,0,2.02,1.1,3,22,1,1
10,10.5619,34,9.43276,19,295,19,2,3,171,93,20,6.25,8,15,8,5.08,0,19,4,12,1
4,1.49003,5,0.121386,1,23,4,2,1,6,10,2,0,1,0,1,2.02,1.1,4,22,1,1
3,1.49003,8,0.121386,5,29,3,4,1,3,13,6,0,2,0,1,0,2.11,3,47,3,1
5,2.38141,10,9.07779,8,61,7,1,6,21,36,13,1.09,4,0,1,1.03,0,6,0,5,0
2,4.74807,3,9.22447,0,9,3,1,6,3,3,6,0,2,3,2,4.05,1.01,4,9,3,1
3,7.34305,21,9.25609,1,55,10,1,8,45,14,9,0,4,5,4,0,2.02,7,9,9,1
1,1.84703,4,9.09329,1,14,4,4,3,6,5,4,0,1,3,1,1.03,1.03,3,75,4,1
1,0,18,0,1,132,16,1,2,120,36,2,0,8,1,8,0,0,1,9,16,1
0,3.17351,1,9.13106,0,3,1,1,0,0,1,0,0,1,2,1,3.04,3.05,2,25,1,1
2,0.891381,69,8.95641,12,313,15,1,3,105,119,13,1.31,11,0,11,1.03,0,4,9,8,0
1,0,2,0,2,28,3,1,1,3,9,3,0,1,1,1,0,0,1,0,3,1
0,0,8,0,3,20,3,2,0,3,16,3,1.05,1,1,1,0,1.04,3,4,0,1
9,11.9457,12,9.47744,10,63,4,1,1,6,39,11,3.03,4,12,4,4.04,0,20,0,3,1
4,5.94514,18,9.22122,2,49,8,4,0,28,17,2,0,4,5,4,1.02,2.1,7,71,8,1
4,5.24655,1,9.18913,0,3,1,2,1,0,1,1,0,1,2,1,0,3.05,6,26,1,1
0,0,3,0,4,9,2,1,2,1,10,6,0,0,0,0,0,0,1,9,2,1
2,9.63232,3,9.33773,1,13,2,1,1,1,6,1,1.01,2,6,1,0,0,9,0,2,1
2,3.25645,1,9.13338,0,3,1,2,3,0,1,3,0,1,3,1,0,2.04,4,23,1,1
3,14.0081,14,9.5042,10,58,5,1,1,10,30,11,4.22,3,11,3,6.11,0,17,0,5,1
1,1.84703,5,9.09329,6,33,5,2,1,10,25,7,0,2,2,2,0,2.02,3,32,4,1
2,4.10346,39,9.18766,16,484,21,1,3,210,166,19,1.02,19,4,19,3.04,0,7,0,7,1
2,3.91697,4,9.15227,0,13,4,1,2,6,5,2,0,3,3,3,0,2.04,4,18,3,1
3,6.13764,5,0.176682,1,53,5,1,0,10,11,1,0,6,4,6,4.04,0,5,0,3,1
1,4.58293,1,9.17116,0,3,1,2,3,0,1,3,0,1,3,1,0,2.04,3,23,1,1
3,5.64478,28,9.31996,8,84,23,1,32,253,53,40,3.08,7,4,7,6.18,1.01,11,9,18,1
1,4.15475,4,9.19857,5,20,3,1,1,3,12,5,0,5,2,5,0,0,7,0,3,1
4,0,3,0,3,21,2,1,1,1,14,4,0,1,0,1,0,0,4,9,1,1
2,4.5803,4,9.18121,1,16,4,1,0,6,7,1,0,1,2,1,0,2.02,4,9,4,1
3,7.98467,6,9.26997,0,24,6,1,2,15,11,2,0,1,4,1,0,0,5,0,5,1
0,1.84703,7,9.09329,1,40,6,1,1,15,12,2,0,2,1,2,0,0,2,9,5,1
1,0,15,0,0,65,6,1,2,15,23,2,0,3,0,3,0,0,1,9,4,1
0,3.24474,6,9.14866,3,26,4,1,0,6,12,3,0,1,2,1,0,1.01,3,9,4,1
0,3.36942,3,9.16285,4,13,2,2,2,1,9,6,0,0,2,0,0,1.01,2,7,0,1
1,1.84703,9,9.09329,2,29,9,4,2,36,12,4,0,2,3,2,2.04,1.04,3,170,9,1
0,1.84703,5,9.09329,1,15,6,1,1,15,11,2,0,2,1,2,2.02,1.01,3,9,6,1
1,1.05195,0,0.024721,0,0,0,1,0,0,0,0,0,0,2,0,0,2.02,2,9,0,1
1,4.58293,1,9.17116,0,3,1,2,3,0,1,3,0,1,3,1,0,2.04,3,23,1,1
8,17.4173,14,9.60145,17,104,5,1,1,10,42,18,3.14,0,12,0,3.04,2.02,20,10,4,1
1,6.70477,4,9.25903,2,19,2,1,0,1,11,2,0,4,4,1,1.01,2.02,6,9,0,1
11,13.2514,23,9.50018,11,220,9,1,0,36,64,11,4.08,12,17,10,3.05,0,27,0,4,0
0,0,1,0,0,3,1,1,0,0,2,0,0,3,0,1,0,0,2,0,1,1
30,20.1106,173,9.76897,31,989,61,1,35,1830,530,64,21.56,40,32,18,27.52,4.64,52,27,50,0
4,6.94451,4,9.27316,4,9,2,2,0,1,6,4,1.01,0,4,0,1.02,1.04,8,4,1,1
0,1.18889,39,0.028424,9,272,21,1,7,210,91,12,0,15,0,9,3.03,0,1,0,13,1
0,0,1,0,0,3,1,1,0,0,2,0,0,13,0,1,0,0,1,0,1,1
1,1.45219,1,0.040996,0,3,1,1,0,0,1,0,0,1,0,0,0,2.02,1,10,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,13,0,1,0,0,1,0,1,1
18,20.1248,14,9.70643,12,70,5,2,0,10,45,12,1.05,1,19,1,2.04,5.14,27,13,5,1
2,5.63443,5,9.25922,2,15,5,2,0,10,7,2,0,0,5,0,0,1.01,8,17,5,1
0,0,88,0,25,389,32,1,19,496,196,42,7.48,14,1,14,5.08,1.01,1,9,21,1
1,1.84703,0,9.09329,0,0,5,1,5,10,5,5,0,0,2,0,0,1.01,2,9,5,1
6,2.38141,11,9.07779,4,59,4,1,0,6,18,4,4.05,1,0,0,3.03,0,6,0,3,0
0,1.84703,1,9.09329,1,4,1,1,0,0,3,1,0,0,1,0,0,0,3,0,1,1
0,0,30,0,10,184,17,3,2,136,75,12,2.03,5,0,5,0,0,5,14,8,1
0,4.42588,7,9.18898,5,98,4,1,1,6,26,6,1.01,3,2,3,2.02,0,4,0,3,1
1,0,18,0,5,77,18,1,6,153,39,11,0,7,1,7,0,0,2,18,17,1
2,10.1692,33,9.36622,7,313,15,1,8,105,56,15,0,16,8,16,3.03,0,8,0,13,1
2,2.37319,8,0.056702,0,29,8,1,8,28,9,8,0,7,2,7,2.02,2.04,3,18,8,1
4,3.82368,14,9.17185,3,98,6,1,1,15,17,3,2.02,2,4,2,1.01,2.02,8,9,5,1
17,20.2837,31,9.73836,12,164,12,1,4,66,77,15,7.54,10,14,9,9.26,2.02,30,9,2,0
4,9.31304,13,9.35863,14,64,3,1,0,3,32,14,3.04,1,9,1,2.02,2.02,14,9,3,1
7,1.49003,54,0.121386,6,209,30,1,28,435,84,33,4.44,14,0,14,6.17,0,10,9,27,0
0,0,1,0,0,3,1,1,0,0,2,0,0,3,0,1,0,0,1,0,1,1
17,17.7431,4,9.59783,3,18,4,2,1,6,9,4,5.35,1,17,1,6.19,2.09,31,7,3,1
3,1.49003,4,0.121386,1,12,4,1,0,6,7,1,0,1,0,1,0,0,3,12,4,1
1,0,14,0,4,67,7,2,0,21,27,4,1.03,5,1,5,0,1.01,4,26,7,0
1,0,18,0,2,49,8,3,0,28,17,2,0,4,0,4,0,0,1,52,8,1
0,2.91015,13,0.080386,2,45,7,2,1,21,29,3,0,0,0,0,4.04,2.02,0,45,3,1
9,14.9292,4,9.49785,0,19,2,1,4,1,7,4,5.37,0,10,0,4.1,2.02,16,9,2,0
5,4.88878,9,9.22338,8,59,4,1,4,6,37,12,3.6,5,8,5,6.13,1.01,12,9,2,1
16,24.988,28,9.76435,10,124,9,2,3,36,67,12,3.15,5,22,5,9.11,4.04,31,17,8,0
0,1.45219,2,0.040996,0,7,2,1,0,1,2,0,0,2,0,0,0,2.02,0,9,2,1
0,0,1,0,0,3,1,1,0,0,2,0,0,4,0,1,0,0,1,0,1,1
2,5.65021,14,0.155909,5,60,4,1,0,6,27,5,1.04,3,1,2,3.04,0,6,0,2,1
4,5.94514,35,9.22122,5,76,12,1,1,66,33,6,0,6,5,6,4.05,2.04,7,18,12,1
3,1.49003,12,0.121386,10,45,4,3,1,6,28,11,0,5,0,4,0,1.1,3,43,4,1
4,1.49003,6,0.121386,6,31,2,2,0,1,18,6,1.01,0,0,0,2.02,0,4,13,2,1
4,5.94514,11,9.22122,0,37,6,1,2,15,8,2,0,3,5,3,1.02,2.04,7,18,6,1
2,4.15475,9,9.19857,4,30,5,2,0,10,23,4,1.03,3,4,3,0,1.01,5,14,5,1
1,0,1,0,0,3,1,1,0,0,2,0,1.01,2,0,1,1.02,0,2,9,1,1
5,3.33706,26,9.21468,9,164,15,1,6,105,60,14,4.21,7,0,7,3.05,0,10,0,12,1
3,1.49003,9,0.121386,6,29,2,2,1,1,14,7,1.01,1,0,1,1.02,1.01,3,11,2,1
2,1.49003,6,0.121386,2,26,2,1,2,1,10,4,1.09,0,0,0,2.03,0,3,9,2,1
7,13.7908,5,9.49271,7,24,2,1,1,1,20,7,3.11,2,10,0,3.03,2.02,17,9,2,1
1,2.46881,7,0.05825,0,21,7,1,1,21,7,1,0,1,2,1,0,2.02,2,9,7,1
0,4.88878,17,9.22338,5,92,8,1,3,28,47,8,1.05,13,2,13,0,1.01,7,9,5,1
1,2.03595,10,0.200359,3,47,3,1,0,3,21,3,2.18,5,3,0,1.03,1.01,7,9,1,1
5,4.92306,11,9.2306,4,47,7,1,2,21,25,6,2.05,6,4,3,0,0,7,0,6,1
4,1.28371,8,0.036869,6,58,5,1,1,10,31,7,2.12,8,0,6,2.03,3.65,4,65,4,1
3,1.49003,2,0.121386,2,6,2,3,1,1,4,3,0,1,0,1,0,1.1,3,39,2,1
0,3.60736,26,0.099416,6,102,5,2,1,10,68,7,0,1,0,0,0,2.02,0,45,3,1
2,5.25012,1,9.20025,0,6,2,1,0,1,2,0,1.02,2,4,2,1.01,0,4,0,2,1
3,1.49003,7,0.121386,2,21,5,5,1,10,11,3,1.08,0,0,0,2.04,2.2,3,53,1,1
1,3.17351,4,9.13106,0,13,4,1,0,6,6,0,1.02,1,2,1,0,0,3,0,4,1
3,12.2241,11,9.4069,0,31,7,1,0,21,14,0,1.07,2,8,2,7.09,0,12,0,6,0
2,4.92306,29,9.2306,5,115,13,1,3,78,55,8,2.16,9,3,1,3.03,2.02,6,9,11,1
1,1.84703,1,9.09329,0,3,1,2,0,0,1,0,0,1,2,1,0,2.03,2,26,1,1
1,4.92306,8,9.2306,0,16,8,1,1,28,8,1,1.01,0,2,0,1.01,1.01,4,9,8,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,9,0,1
0,0,6,0,4,20,4,1,1,6,11,5,0,3,0,3,0,0,1,0,4,1
2,3.95974,4,9.15318,0,12,4,1,0,6,4,0,0,0,3,0,0,2.02,3,9,4,1
1,0.891381,8,8.95641,1,45,2,1,1,1,8,2,0,1,0,1,0,0,2,9,2,1
1,4.7898,8,9.21441,1,38,7,1,1,21,14,2,0,4,4,3,0,0,5,0,7,1
3,1.49003,13,0.121386,2,45,9,1,50,36,15,52,1.03,4,1,0,4.08,1.09,4,18,8,1
3,4.92306,7,9.2306,2,22,7,1,1,21,10,3,1.07,1,3,1,1.01,1.02,5,19,7,1
1,0,2,0,0,6,2,1,1,1,3,1,0,0,0,0,1.01,0,1,0,2,1
2,1.49003,11,0.121386,2,39,8,1,1,28,17,3,0,1,0,1,3.03,0,2,9,8,1
7,13.1894,20,9.49936,8,70,7,1,3,21,28,10,7.27,2,13,2,4.05,2.02,19,9,7,1
21,20.5079,21,9.77005,7,213,8,1,1,28,71,8,9.14,2,21,2,5.07,2.02,35,10,2,1
4,1.49003,5,0.121386,8,31,3,3,1,3,17,9,1.01,3,0,3,1.01,1.1,4,43,3,1
1,4.46389,10,9.17814,1,31,7,3,2,21,15,3,0,1,4,0,0,2.02,5,24,6,1
1,1.39346,21,0.031835,1,57,15,1,1,105,17,2,0,7,2,7,0,2.02,2,9,15,1
3,5.25012,48,9.20025,1,157,9,1,2,36,25,3,0,2,4,1,0,0,5,0,6,1
4,5.52481,9,9.25819,6,47,8,2,4,28,23,10,0,1,5,1,3.04,0,8,2,4,1
2,0,8,0,10,40,4,3,1,6,28,10,0,3,0,2,1.01,1.1,3,43,3,1
36,25.5639,77,9.98607,28,399,16,2,3,120,304,30,11.65,6,21,4,8.12,6.11,52,17,14,0
4,10.279,11,9.38268,4,56,5,1,4,10,26,8,1.03,3,10,0,5.07,2.02,14,9,5,1
2,4.71857,1,9.19681,1,9,1,1,0,0,4,1,0,0,2,0,0,0,5,0,1,1
5,8.51756,23,9.34266,3,59,7,1,9,21,27,12,2.11,12,4,4,6.1,2.02,11,9,4,1
1,1.84703,11,9.09329,2,44,5,1,2,10,22,3,0,3,2,3,0,0,3,0,3,1
5,8.68883,9,9.39234,4,65,5,1,0,10,19,4,2.04,2,7,2,3.03,0,12,0,3,1
1,1.84703,4,9.09329,4,41,4,1,1,6,12,5,0,2,2,2,0,0,4,0,4,0
7,16.0551,24,9.5546,9,77,9,2,0,36,42,9,3.07,0,11,0,3.03,2.02,18,16,7,1
1,6.45512,46,0.209384,2,96,16,2,4,120,41,6,0,8,3,8,1.02,2.06,4,37,16,1
1,1.84703,11,9.09329,4,50,7,1,0,21,32,4,0,1,1,0,0,1.01,2,10,1,1
1,1.84703,115,9.09329,12,345,80,1,26,3160,137,38,2.05,38,3,38,10.13,2.04,5,18,80,1
2,1.49003,1,0.121386,0,3,1,3,1,0,1,1,0,0,0,0,1.01,1.1,2,28,1,1
1,0,27,0,6,114,13,1,1,78,37,7,0,3,0,3,0,0,1,9,9,0
3,10.7968,10,0.277237,5,48,3,1,0,3,26,5,0,3,4,3,2.02,1.01,11,0,0,1
12,20.5668,4,9.72524,4,68,2,1,3,1,10,7,4.16,3,21,3,7.14,0,35,0,2,0
2,5.08708,15,9.19612,2,90,8,1,1,28,29,3,0,6,4,6,0,0,5,0,4,1
0,4.08479,4,9.19743,1,15,3,3,1,3,7,2,1.02,0,2,0,0,1.01,2,9,2,1
1,1.84703,2,9.09329,0,6,1,1,0,0,1,0,0,0,1,0,0,0,2,9,1,1
0,0,19,0,10,104,9,1,0,36,48,10,0,7,0,2,4.04,2.02,1,9,7,1
3,12.0486,8,9.39369,3,35,4,1,0,6,19,3,0,16,7,2,1.01,2.02,12,9,1,1
3,11.7568,37,9.49362,8,106,15,2,3,105,36,11,4.07,5,7,3,2.05,4.13,13,27,14,1
4,10.0513,3,9.34078,0,9,14,1,52,91,14,52,0,1,8,0,6.09,2.02,12,9,14,1
3,5.95209,31,9.2488,5,132,3,1,2,3,22,7,2.03,0,5,0,4.04,0,8,0,2,1
4,10.273,16,9.35538,6,114,7,1,0,21,40,6,1.01,8,7,8,4.04,0,12,0,1,1
3,11.6751,7,9.43591,3,27,5,1,1,10,15,4,3.03,0,10,0,3.04,2.09,14,0,5,1
4,6.32077,4,9.28597,0,16,3,1,1,3,6,1,1.07,1,7,1,1.02,0,11,0,3,1
3,8.34194,4,9.29066,0,15,4,1,1,6,6,1,0,1,5,0,0,0,9,0,4,1
7,8.10609,7,9.33474,7,25,6,2,0,15,15,7,1.03,0,8,0,1.02,8.12,12,31,6,1
0,0,3,0,0,29,3,1,0,3,4,0,0,1,2,0,0,1.05,2,0,2,1
1,3.95974,2,9.15318,0,7,2,1,0,1,3,0,0,0,3,0,0,0,4,0,2,1
3,1.49003,3,0.121386,2,10,3,1,1,3,7,3,0,1,0,1,0,0,3,0,3,1
3,1.49003,1,0.121386,0,3,1,3,1,0,1,1,0,0,0,0,0,4.09,3,15,1,1
1,1.84703,5,9.09329,1,17,4,1,2,6,10,3,0,1,2,1,0,0,2,9,4,1
3,8.24459,4,9.29513,0,11,5,1,1,10,6,1,0,2,3,0,0,2.02,7,9,4,1
2,3.95974,3,9.15318,1,11,2,1,1,1,6,2,0,0,2,0,3.03,4.16,4,9,1,1
3,6.5604,29,9.23498,0,78,20,1,7,190,20,7,0,10,6,10,1.01,2.02,6,9,20,1
2,3.95974,1,9.15318,0,3,2,1,3,1,3,3,0,1,2,0,1.01,0,3,0,2,1
54,38.7367,165,10.1836,23,1448,35,3,5,595,415,27,17.43,75,46,50,13.24,1.05,87,14,16,0
0,0,1,0,0,3,1,1,0,0,2,0,0,10,0,1,0,0,1,0,1,1
4,1.49003,1,0.121386,1,3,1,3,4,0,2,5,0,0,0,0,3.03,1.1,4,26,1,1
40,25.2804,44,9.96602,21,350,18,2,7,153,169,26,20.58,2,39,2,13.24,6.11,66,17,14,0
1,0,2,0,2,12,3,2,0,3,7,2,0,0,0,0,0,0,1,12,2,1
0,1.84703,2,9.09329,0,18,2,1,0,1,6,0,0,1,2,1,0,0,2,0,2,1
8,3.33706,48,9.21468,8,195,14,1,6,91,77,14,3.75,15,0,6,3.05,0,12,9,8,1
0,1.28671,1,0.030655,0,5,1,2,0,0,2,0,0,1,1,1,0,0,2,12,1,1
3,4.78742,5,9.20494,0,15,5,2,3,10,5,3,0,3,4,3,0,2.04,5,22,5,1
0,2.91015,27,0.080386,6,96,5,2,1,10,53,7,0,1,0,0,0,2.02,0,45,3,1
2,3.25645,1,9.13338,0,3,1,2,4,0,1,4,0,1,3,1,1.01,2.04,4,23,1,1
3,4.88878,21,9.22338,10,263,10,1,1,45,66,11,1.02,13,5,12,1.01,0,9,0,5,1
4,5.94514,32,9.22122,2,70,12,2,0,66,29,2,0,6,5,6,1.02,2.06,7,33,12,1
1,0,5,0,3,31,2,1,1,1,12,4,0,1,1,1,0,0,1,9,2,0
0,0,1,0,0,8,1,1,1,0,1,1,0,6,0,0,0,0,1,9,1,1
1,2.84955,22,0.070476,9,107,12,1,12,66,54,21,4.07,4,5,4,6.06,4.04,5,13,11,1
3,1.49003,1,0.121386,1,7,4,1,2,6,6,3,1.03,0,1,0,1.02,1.09,4,18,1,1
2,1.49003,9,0.121386,1,62,2,1,1,1,10,2,1.02,0,0,0,0,0,3,9,2,1
3,11.7316,6,9.41205,1,79,6,1,0,15,11,1,1.01,0,9,0,2.03,2.02,12,9,6,1
0,1.45219,6,0.040996,0,22,2,1,2,1,3,2,0,4,0,1,0,3.05,0,26,1,1
7,9.80513,7,9.37372,3,29,6,1,1,15,14,4,1.37,4,10,3,3.12,1.09,16,0,6,1
3,8.10333,7,9.25909,0,21,7,2,0,21,8,0,0,0,5,0,0,2.02,8,16,7,1
16,5.63443,94,9.25922,31,569,24,1,1,276,368,32,5.5,54,20,6,7.16,1.01,27,9,14,0
0,9.24645,6,9.34832,3,20,5,1,1,10,12,4,2.04,3,6,2,4.04,3.48,8,0,4,1
1,0,2,0,1,8,2,1,0,1,4,1,0,2,0,2,0,2.02,1,9,2,1
5,12.4014,7,9.53675,5,37,1,1,0,0,12,5,3.05,2,8,0,4.04,2.02,14,9,1,1
1,0,1,0,0,4,1,2,0,0,1,0,0,0,1,0,0,0,1,4,1,1
1,6.11627,4,9.25218,2,12,3,1,2,3,10,4,2.02,0,3,0,1.01,2.02,4,9,2,1
8,6.67906,24,9.32877,9,214,11,1,3,55,70,12,3.11,11,7,11,1.01,0,14,0,6,1
1,0,1,0,0,3,1,1,0,0,2,0,0,115,2,1,0,0,3,0,1,1
2,0,3,0,1,9,4,2,1,6,5,2,0,0,0,0,0,1.1,3,22,1,1
4,5.59876,5,9.2653,1,14,8,1,13,28,9,14,1.02,0,7,0,5.07,1.01,7,9,8,1
4,6.86009,4,9.25497,2,31,3,1,1,3,10,3,0,0,7,0,0,0,8,0,3,1
3,4.92306,5,9.2306,8,46,4,3,2,6,21,10,1.02,8,4,8,3.03,0,8,10,4,0
3,8.02848,8,9.27665,4,34,4,1,1,6,18,5,0,2,5,2,0,0,7,0,4,1
0,0,8,0,9,126,4,2,1,6,53,10,0,4,2,4,0,0,2,6,3,1
1,1.84703,2,9.09329,7,16,2,1,1,1,12,8,1.04,2,3,2,1.01,2.02,4,9,2,1
1,2.85355,12,9.12304,2,32,8,1,9,28,12,11,1.05,3,2,3,1.09,2.02,3,9,8,1
3,1.49003,3,0.121386,1,9,4,2,1,6,5,2,0,0,0,0,1.01,1.1,3,22,1,1
