numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
2,8.81525,8,2,27,4,2,1,6,14,3.03,3,2.09,2,2,3.04,1.09,3,9,2,3.13,1
1,7.23217,7,4,23,5,4,3,10,14,0,7,0,2,1,1.01,3.07,1,48,3,0,1
4,15.8933,45,14,183,13,1,6,78,104,4.05,20,5.42,0,0,5.08,1.01,7,6,4,7.83,0
2,2.9034,7,12,36,4,5,0,6,33,0,12,1.01,0,0,0,0,4,40,1,1.01,0
0,11.7472,49,14,217,17,3,0,136,104,2.02,14,3.06,7,7,3.03,3.04,2,21,10,4.23,1
4,4.69981,11,2,35,5,4,1,10,12,1.01,3,0,0,0,1.01,2.03,5,18,5,1.05,1
0,3.19311,9,4,22,5,3,1,10,12,1.01,5,0,3,2,1.01,2.05,0,32,5,0,1
1,9.5467,18,7,87,12,3,1,66,53,2.02,8,2.04,1,1,2.02,3.04,2,21,10,3.17,1
10,21.4383,99,23,384,28,1,29,378,175,9.12,52,5.51,8,1,17.26,1.01,13,20,10,8.03,1
0,1.76682,6,3,37,5,1,1,10,13,0,4,0,1,0,0,0,1,0,4,1.01,1
0,2.99178,3,1,8,3,1,3,3,7,0,4,0,29,4,0,0,1,6,2,1.01,1
0,6.42599,7,1,21,6,4,2,15,9,0,3,0,1,1,1.01,5.11,0,90,6,0,1
2,4.4013,10,2,36,11,3,2,55,22,0,4,0,2,1,1.01,1.01,2,23,3,1.02,1
0,1.56044,3,2,10,3,6,0,3,6,0,2,0,0,0,0,0,2,20,3,0,1
0,9.02416,6,4,33,4,1,1,6,17,0,5,2.02,4,4,0,0,1,0,3,1.03,1
2,8.22594,22,16,103,9,2,1,36,74,1.01,17,2.13,0,0,1.01,0,2,4,1,1.16,0
1,4.41258,16,6,56,11,2,3,55,29,1.01,9,1.02,1,1,1.01,0,2,17,6,2.13,1
0,3.8069,19,7,81,7,2,1,21,41,0,8,0,1,1,1.01,1.01,1,47,1,0,1
1,3.17625,1,0,4,1,2,0,0,2,1.03,0,1.28,3,0,1.06,2.02,1,9,1,1.31,1
1,10.1306,12,10,83,7,2,0,21,37,1.01,10,3.05,12,8,1.01,0,3,8,6,4.22,1
1,8.47144,10,7,38,6,4,5,15,32,4.05,12,2.07,1,1,6.07,4.11,1,51,5,1.08,1
0,0,70,8,478,26,1,10,325,142,3.03,17,11.96,25,21,8.12,0,0,0,9,19.07,1
4,13.5775,23,7,82,19,7,3,171,41,2.04,10,4.23,5,5,5.07,4.07,4,92,16,2.31,0
6,18.2442,32,0,92,16,1,16,120,47,0,16,7.21,1,0,16.22,1.01,7,6,16,7.42,0
0,0,17,7,51,12,2,6,66,33,0,12,0,1,1,0,0,1,17,7,0,1
1,1.76682,2,2,27,2,1,0,1,9,0,2,0,0,0,0,0,1,6,1,1.01,0
0,4.18914,13,3,37,10,1,7,45,18,1.01,10,2.09,2,2,0,1.01,0,8,8,2.22,1
1,7.6507,7,2,25,7,3,3,21,13,1.01,5,0,5,3,1.01,1.01,1,24,7,0,1
2,13.8243,8,6,70,8,1,0,28,32,1.05,6,4.22,3,3,2.06,0,2,0,4,4.27,0
0,9.95198,12,2,38,7,1,2,21,18,1.01,4,2.08,3,3,2.02,1.01,0,6,7,2.17,1
23,38.2013,88,26,343,30,2,6,435,220,10.39,30,27.05,6,6,16.42,7.18,24,19,18,34.15,0
5,10.6277,36,11,113,15,5,5,105,61,4.07,16,4.2,4,4,4.08,4.15,5,143,13,4.38,1
0,3.1028,50,29,304,17,1,1,136,123,1.03,30,1.13,8,2,1.04,0,1,0,2,2.36,1
3,9.66991,8,4,23,6,6,12,15,15,1.01,16,1.04,1,1,8.09,5.12,4,78,5,2.05,1
1,3.19695,3,1,11,3,2,0,3,5,0,1,0,0,0,0,0,1,6,3,0,1
7,18.4852,44,13,173,20,3,5,190,121,5.09,18,5.54,5,1,7.12,4.06,7,71,14,5.81,1
2,7.36317,0,0,0,0,1,0,0,0,0,0,0,235,1,0,0,7,0,0,0,1
0,4.50348,4,3,15,3,2,0,3,10,0,3,0,0,0,0,1.01,1,10,2,0,1
0,8.07975,8,3,30,6,5,4,15,16,2.02,7,2.11,3,3,2.02,5.08,1,92,6,1.14,1
2,4.23308,76,10,264,14,1,12,91,121,0,22,1.09,0,0,0,0,3,6,11,2.31,0
4,14.001,21,10,82,7,2,1,21,51,0,11,1.01,1,0,0,3.03,5,26,4,3.04,1
0,7.87093,4,3,13,3,3,1,3,8,1.01,4,0,1,1,1.01,1.01,1,14,2,0,1
0,6.41569,2,0,7,3,1,0,3,6,0,0,0,0,0,2.02,0,0,0,2,0,1
0,1.77712,6,3,20,5,1,1,10,13,0,4,0,2,0,0,0,1,6,4,0,0
0,3.71865,63,10,307,21,1,1,210,122,1.01,11,1.02,0,0,1.01,0,1,6,2,2.31,1
0,9.31549,12,2,38,4,1,1,6,12,0,3,0,2,2,0,1.01,0,6,3,1.08,1
0,6.41569,13,2,42,4,1,0,6,23,0,2,0,3,3,1.01,0,0,0,3,0,1
1,5.84321,22,2,58,8,5,0,28,34,1.01,2,0,1,1,1.01,9.59,1,251,7,0,1
1,10.7189,15,2,45,11,1,8,55,22,1.01,10,1.01,1,1,7.07,1.01,2,6,11,2.03,1
0,1.76682,8,7,31,6,1,2,15,21,0,9,0,1,0,0,0,1,9,6,1.01,1
4,14.6883,57,12,180,20,3,9,190,101,8.14,21,4.48,15,9,10.16,1.01,7,35,20,7.92,1
1,2.71813,42,21,195,10,1,2,45,96,0,23,0,4,4,0,0,2,0,1,1.15,1
1,10.3221,32,10,125,14,3,0,91,63,2.02,10,2.04,3,2,2.02,3.04,1,21,11,3.11,1
2,8.97676,11,3,88,6,1,1,15,24,0,4,1.01,3,3,0,0,3,0,2,3.13,0
0,5.72876,23,6,58,9,3,1,36,42,3.03,7,2.12,3,3,3.03,4.1,0,34,7,2.11,1
11,15.4536,93,19,405,21,1,1,210,134,4.14,19,5.23,12,12,4.14,0,18,6,10,10.52,0
5,10.0245,20,9,63,9,3,1,36,39,3.03,9,2.06,3,2,3.03,4.06,5,67,7,2.11,1
3,4.69981,4,0,13,2,3,2,1,5,2.08,2,2.09,0,0,2.08,2.03,3,16,1,1.17,1
0,4.87416,8,2,25,7,3,1,21,10,1.01,3,0,3,3,1.01,2.05,0,34,7,0,1
9,20.6318,29,12,98,7,1,4,21,67,7.37,15,6.19,2,1,8.42,1.01,9,6,3,8.65,1
1,5.02919,33,17,130,11,2,1,55,65,0,18,0,2,1,0,1.06,4,29,6,1.11,1
4,17.0132,19,3,96,13,2,1,78,40,0,4,5.07,4,1,0,2.02,7,6,10,7.43,1
2,15.677,39,8,150,31,3,25,465,61,3.05,33,4.37,4,3,11.17,3.15,8,32,14,9.15,1
0,1.56044,2,2,7,2,6,0,1,5,0,2,0,0,0,0,0,2,20,2,0,1
1,1.77712,1,1,3,1,1,0,0,2,0,1,0,0,0,0,0,1,6,1,0,1
4,21.903,35,17,152,21,3,2,210,67,5.07,19,9.32,1,1,4.07,12.22,10,72,9,10.82,1
4,3.81443,98,8,461,27,1,4,351,187,0,12,2.02,39,39,0,0,8,6,9,2.06,1
3,10.7641,21,3,55,10,1,8,45,28,3.07,10,4.21,4,2,5.1,0,3,0,9,3.35,1
3,4.41939,7,5,26,3,3,1,3,11,0,6,0,1,1,0,0,3,9,1,0,1
0,4.68802,11,3,33,8,1,0,28,24,0,3,0,1,1,0,1.01,0,9,8,0,1
2,6.39356,29,5,132,5,1,1,10,57,1.02,6,1.04,1,1,1.03,0,4,7,2,3.2,1
0,1.56044,8,2,29,8,5,1,28,14,0,3,0,2,0,0,2.04,2,80,7,0,1
0,7.20141,7,6,33,5,1,1,10,17,1.01,7,0,1,1,4.04,1.01,2,6,5,3.06,1
0,6.41569,14,3,38,12,1,20,66,28,0,23,0,2,2,14.16,1.01,0,6,12,1.01,1
3,18.6835,33,8,97,18,3,1,153,70,6.13,9,8.87,1,1,6.13,12.55,4,31,3,10.5,1
3,10.4273,13,16,79,4,2,0,6,46,2.14,16,4.38,0,0,2.14,0,5,9,2,4.62,1
1,3.19695,3,1,9,3,2,0,3,5,0,1,0,0,0,0,0,1,6,3,0,1
0,3.18664,5,2,16,4,3,1,6,9,0,3,0,1,1,0,3.1,0,14,3,0,1
1,10.2902,15,3,109,10,2,2,45,29,1.01,5,2.04,4,4,1.01,2.02,3,18,6,5.4,1
3,11.5044,45,21,197,22,5,1,231,128,0,22,4.1,4,4,0,5.37,5,72,5,5.15,1
2,3.28852,33,8,137,13,1,1,78,44,0,9,1.09,5,5,0,0,2,0,8,2.41,1
2,14.8927,11,7,79,9,3,1,36,44,2.02,8,4.1,3,3,2.02,3.04,3,21,9,6.16,1
0,4.5126,10,5,40,8,1,1,28,25,0,6,1.04,3,0,1.01,0,1,0,6,1.09,0
8,9.50502,57,7,283,12,1,27,66,87,2.03,34,4.53,1,0,14.3,0,9,6,5,5.46,1
5,21.0564,42,13,196,10,1,30,45,70,6.19,43,11.09,0,0,22.62,1.01,5,6,10,12.32,0
0,1.76682,9,0,26,5,1,1,10,11,0,1,0,2,0,0,0,1,0,4,0,1
0,2.84822,13,13,91,10,5,1,45,39,0,14,0,5,0,0,2.04,3,80,7,1.3,1
5,14.328,101,21,351,21,1,29,210,156,2.04,49,6.44,9,3,17.32,1.01,8,6,11,8.3,0
0,10.2185,8,1,20,6,1,2,15,12,0,3,0,2,2,3.04,1.01,0,6,5,1.01,1
1,6.91542,28,10,107,14,2,7,91,54,2.03,17,2.11,4,4,5.07,8.2,3,56,7,3.41,0
6,17.3959,26,4,149,9,1,2,36,53,1.01,6,4.13,1,0,3.03,1.01,7,6,6,6.57,0
5,8.42705,22,11,111,11,1,1,55,60,0,12,3.16,4,4,0,0,6,0,7,3.31,1
15,13.0688,235,35,1326,78,1,6,3003,461,6.14,36,9.5,55,34,6.15,0,27,0,15,13.75,0
1,9.75182,14,3,50,16,3,11,120,31,1.01,14,2.07,2,2,3.07,6.11,7,17,14,3.29,1
2,5.74149,11,7,60,6,4,1,15,30,1.01,8,3.17,1,0,1.01,3.11,4,51,3,3.57,1
1,0,1,1,3,1,1,0,0,2,0,1,0,0,0,0,0,1,6,1,0,1
1,9.74272,22,8,78,8,3,2,28,45,1.01,10,1.07,3,3,1.01,4.1,1,56,7,2.09,1
2,2.06344,7,2,35,5,1,1,10,12,0,3,2.04,1,1,0,0,3,0,2,2.22,0
33,34.5185,85,25,523,34,1,5,561,257,10.2,26,19.04,22,18,10.2,0,35,0,10,28.08,0
0,3.19695,34,4,106,10,3,1,45,50,1.01,5,0,3,3,1.01,1.02,0,36,9,0,0
1,5.02919,23,9,98,26,3,5,325,76,1.05,14,1.24,4,4,1.06,1.02,2,14,14,1.16,1
2,12.1216,31,5,75,12,3,3,66,49,1.01,8,4.16,4,4,3.05,3.09,3,57,10,5.23,1
2,7.48725,19,7,69,16,4,0,120,36,1.02,7,2.08,0,0,1.02,7.17,5,73,8,3.23,1
0,1.77712,2,1,6,3,1,1,3,5,0,1,0,0,0,0,0,0,0,2,0,1
1,7.38898,3,2,16,3,1,1,3,9,1.01,3,1.05,1,1,1.01,0,5,0,2,2.12,1
0,7.6651,8,3,26,6,3,2,15,15,0,5,0,2,1,0,2.06,0,39,4,0,1
0,4.91442,26,2,99,17,1,4,136,32,1.02,6,1.11,7,6,2.04,1.07,1,19,15,2.42,1
4,14.0049,32,9,104,23,2,17,253,51,2.02,26,4.16,5,1,2.02,3.04,4,14,11,3.63,1
1,1.76682,9,3,28,3,1,1,3,12,0,4,0,1,1,0,0,1,0,3,1.01,1
0,0,2,2,16,2,3,2,1,4,0,4,0,0,0,0,0,1,5,1,0,1
0,0,11,3,54,8,4,1,28,25,0,4,0,3,3,0,0,1,34,6,0,1
4,12.5528,22,13,179,12,3,1,66,77,2.03,14,6.27,10,10,2.03,3.04,5,21,4,5.7,1
0,0,5,2,15,4,3,1,6,8,0,3,0,0,0,0,0,1,5,3,0,1
0,7.2787,36,8,119,11,2,1,55,69,1.01,9,1.01,3,2,1.01,3.05,0,18,5,1.02,1
2,16.6315,9,5,32,5,3,2,10,24,3.04,7,3.06,0,0,3.04,5.08,3,15,2,1.01,0
0,6.42599,25,9,79,10,3,3,45,46,1.01,12,0,4,3,3.03,1.01,0,32,10,1.08,1
1,3.18664,5,0,23,5,1,1,10,7,0,1,0,3,3,0,0,1,0,4,1.01,1
2,6.31552,19,19,45,2,1,2,1,36,1.01,21,2.03,1,1,1.01,1.01,2,7,2,1.02,1
0,3.05459,6,1,20,2,1,1,1,4,0,2,0,1,0,0,0,1,0,1,0,1
2,5.13272,23,20,132,8,1,0,28,83,0,20,0,4,1,0,0,2,0,1,1.13,1
0,4.22264,6,1,23,3,3,0,3,10,0,1,0,1,1,1.01,0,2,14,2,1.09,1
0,3.45817,19,0,37,8,1,1,28,18,0,1,0,4,4,0,1.01,0,10,5,1.02,1
4,20.1092,84,21,185,39,7,3,741,92,5.09,24,6.25,6,6,7.11,6.09,5,101,37,8.47,1
2,9.95543,22,13,90,12,1,6,66,50,1.01,19,2.09,10,10,2.02,1.01,3,6,11,2.26,1
2,4.87697,4,3,20,2,1,1,1,13,1.02,4,1.02,1,1,1.02,0,2,0,2,2.02,1
0,2.63545,1,1,5,1,3,2,0,2,0,3,0,1,1,1.01,3.27,1,120,1,0,1
1,10.8895,9,1,38,7,1,5,21,12,1.01,6,1.01,3,2,2.02,1.01,1,6,6,3.05,1
2,8.50394,10,6,41,4,4,8,6,28,0,14,1.01,3,2,2.02,4.07,2,63,4,2.04,1
3,7.34746,17,8,68,21,3,7,210,49,0,15,1.03,5,3,0,0,3,17,12,2.04,1
0,4.43166,2,1,12,2,3,1,1,5,0,2,0,0,0,0,1.01,0,23,1,0,1
6,7.75438,6,0,27,3,1,2,3,7,0,2,1.03,3,3,1.01,0,7,0,2,2.2,1
6,15.1921,59,20,338,24,3,1,276,162,4.05,21,6.24,12,12,4.05,3.04,8,21,12,8.59,1
0,4.68802,9,3,31,8,1,0,28,24,0,3,0,1,1,0,1.01,0,9,8,0,1
0,1.77712,8,2,23,4,1,1,6,13,0,3,0,2,2,0,0,0,15,3,0,1
0,0,3,2,14,2,3,2,1,5,0,4,0,0,0,1.01,0,0,5,1,0,1
0,3.9513,3,2,9,3,5,5,3,7,3.03,7,0,1,1,4.04,3.07,0,64,3,0,1
0,2.95101,4,2,12,4,3,1,6,7,3.03,3,0,0,0,3.03,3.1,0,14,3,0,1
4,12.8023,55,10,153,35,4,46,595,83,1.01,56,4.09,13,8,19.45,1.02,5,31,33,5.23,1
0,0,6,1,30,5,1,4,10,16,0,5,1.05,53,5,2.04,1.01,0,6,2,6.22,1
3,14.3549,12,7,38,3,2,0,3,31,2.02,7,5.12,2,2,4.04,0,5,3,1,5.15,1
1,4.61185,11,1,44,8,1,1,28,18,0,2,0,6,6,0,1.01,2,11,8,2.04,1
2,4.40324,4,2,23,2,1,0,1,9,0,2,1.01,1,1,1.05,1.01,2,6,1,0,1
2,6.12275,24,9,93,16,4,1,120,42,0,10,1.01,3,3,0,1.01,2,57,11,2.07,1
1,1.77712,1,1,3,1,1,0,0,2,0,1,0,0,0,0,0,1,6,1,0,1
2,4.582,6,4,42,4,2,1,6,15,0,5,1.02,1,1,1.01,0,2,5,1,2.05,1
0,0,5,2,21,2,3,1,1,8,1.01,3,1.03,0,0,1.01,0,0,5,1,1.07,1
18,32.7874,153,47,681,50,5,2,1225,345,10.2,48,15.58,13,13,10.2,5.37,24,74,14,19.71,1
2,12.8864,46,20,238,16,2,1,120,122,10.18,21,5.89,8,7,10.18,3.06,2,12,3,5.2,0
5,12.7638,28,13,140,20,2,0,190,55,3.06,13,6.24,1,0,3.06,10.19,8,69,8,6.92,1
5,10.6231,51,13,155,17,1,4,136,92,0,13,1.12,5,5,0,0,5,0,7,3.26,0
2,10.0124,124,16,338,41,3,1,820,229,5.19,17,8.34,12,12,5.19,7.38,2,63,36,10.59,1
1,3.79861,39,6,179,12,1,1,66,49,0,7,1.02,6,3,0,0,3,7,5,3.18,1
0,2.97312,1,0,3,1,3,0,0,1,0,0,0,0,0,0,0,1,11,1,0,1
0,4.43166,1,0,3,3,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,1
3,13.6058,49,6,160,7,1,1,21,61,0,7,3.12,6,6,0,0,3,0,4,5.42,0
0,6.41569,2,0,6,2,2,5,1,2,0,5,0,0,0,3.03,7.07,0,39,1,0,1
2,8.88385,7,1,21,5,1,7,10,11,0,8,1.04,1,1,2.02,0,2,6,4,1.01,1
4,16.8267,28,6,78,21,3,31,210,47,1.02,37,4.12,6,5,19.42,1.01,5,23,18,4.38,1
0,2.79724,6,4,26,2,1,0,1,17,1.01,4,1.04,0,0,1.01,0,1,0,1,2.06,0
0,7.83167,21,3,37,4,1,1,6,13,1.01,3,1.02,3,3,1.01,0,0,0,3,3.25,1
0,4.64887,5,2,19,2,3,2,1,8,1.01,4,0,1,1,2.02,1.01,0,28,2,0,1
1,5.74856,18,3,59,12,7,1,66,30,1.03,4,3.36,2,2,1.03,6.93,2,523,12,4.28,1
0,3.82133,6,2,19,6,1,2,15,10,0,4,0,1,1,0,1.01,1,6,5,0,1
3,12.1593,25,7,77,11,1,3,55,45,1.01,10,1.01,1,0,3.03,0,3,0,9,0,1
8,13.4381,20,8,119,6,2,3,15,42,2.04,11,3.32,3,3,2.05,0,8,4,4,3.98,1
4,9.1054,16,2,63,11,4,19,55,36,0,21,2.02,1,1,7.1,2.02,5,5,10,2.06,1
1,3.18664,3,2,13,3,3,1,3,6,0,3,1.02,0,0,0,2.04,1,14,2,1.03,1
2,7.83059,8,2,20,7,1,0,21,14,0,2,0,1,1,0,0,2,0,1,0,1
0,7.27922,7,7,39,7,1,1,21,16,0,8,0,1,1,0,1.01,0,12,7,0,1
4,7.18485,38,10,122,16,2,5,120,87,1.01,15,0,0,0,1.01,3.08,5,50,1,3.15,1
9,30.6794,28,15,101,13,4,3,78,55,7.14,18,11.57,7,7,8.16,11.38,16,70,11,15.29,1
6,19.5417,32,10,97,9,1,2,36,68,3.09,12,7.74,3,3,4.05,1.01,7,6,1,7.03,1
1,1.76682,19,2,82,6,1,1,15,19,0,3,0,2,2,0,0,1,6,4,1.06,1
0,7.00075,12,2,34,12,1,1,66,17,0,3,1.02,1,0,4.05,1.01,0,6,11,2.04,0
1,9.16205,4,1,15,3,1,6,3,9,0,7,1.02,1,0,4.05,1.01,1,6,2,2.09,1
2,10.0211,13,7,40,4,1,1,6,23,0,7,0,0,0,0,0,3,0,0,1.02,0
0,8.62632,4,3,16,2,1,1,1,10,1.01,4,0,2,2,1.01,0,0,0,2,1.01,1
0,3.71677,8,4,30,7,5,4,21,21,0,8,0,1,1,0,4.49,0,248,7,1.01,1
1,2.5349,1,1,3,1,1,0,0,2,0,1,0,0,0,0,1.01,2,6,1,0,1
6,16.4202,31,11,95,9,1,5,36,54,5.05,16,4.23,1,1,6.09,0,9,0,3,4.47,1
2,8.50408,68,6,193,8,3,1,28,91,3.04,7,3.81,15,15,3.04,4.1,3,34,7,4.79,1
5,6.59762,178,34,828,50,5,6,1225,341,2.04,37,2.51,19,19,2.02,2.31,10,70,14,6.05,1
1,5.87009,20,13,91,15,5,0,105,52,1.02,13,1.09,6,6,1.02,2.04,4,80,10,2.16,1
31,31.9437,257,42,1087,56,5,3,1540,440,7.13,44,17.78,15,15,7.13,5.37,46,71,15,27.85,0
11,23.032,89,27,349,30,4,2,435,150,8.24,28,14.51,4,4,8.24,11.41,18,72,10,17.08,0
7,14.7298,52,6,156,15,1,42,105,73,6.09,48,4.26,15,1,23.29,0,8,0,9,6.41,1
0,0,18,10,120,14,5,0,91,67,0,10,0,7,4,0,0,1,80,6,0,1
0,3.36633,42,4,115,6,1,6,15,45,0,10,0,1,1,1.01,0,0,6,3,0,1
5,21.2282,28,4,147,21,2,3,210,73,5.16,5,13.66,11,11,5.19,6.52,8,3,3,17.37,0
4,6.38161,11,2,30,5,1,0,10,13,0,2,1.01,1,1,2.04,0,4,6,4,1.07,1
0,0,24,3,77,15,1,12,105,43,4.06,15,4.32,6,4,9.35,0,0,0,13,5.83,1
2,3.1496,4,2,15,3,1,3,3,5,1.02,5,1.05,1,0,1.02,1.03,2,0,2,2.1,1
0,10.2088,15,10,55,8,3,2,28,26,2.03,11,1.04,4,4,2.04,1.01,0,32,7,3.12,1
1,5.93615,18,1,117,10,1,1,45,30,0,2,0,13,13,0,1.01,1,6,2,2.04,1
1,1.76682,5,0,20,2,1,4,1,5,0,4,0,2,2,1.01,0,1,6,2,1.02,1
3,6.02605,17,6,84,12,5,2,66,39,1.01,8,3.1,4,4,2.03,3.06,4,76,11,2.25,1
1,1.77712,1,1,3,1,1,3,0,2,0,4,0,1,1,0,0,1,0,1,0,1
11,29.9939,66,9,185,20,1,16,190,96,8.13,24,13.99,11,5,20.24,1.01,14,6,8,17.33,0
1,4.2852,5,1,36,4,1,3,6,9,0,4,0,3,3,3.03,0,2,0,3,1.01,1
5,7.19932,14,7,41,5,3,2,10,20,0,8,2.04,0,0,2.02,0,8,21,2,3.05,1
0,2.97312,1,0,3,1,3,0,0,1,0,0,0,0,0,0,0,1,11,1,0,1
1,3.18664,3,3,13,3,3,1,3,8,0,4,1.02,0,0,0,2.04,1,14,2,1.03,1
6,16.519,9,3,29,3,1,5,3,15,2.02,8,8.73,0,0,8.12,1.01,7,6,3,11.67,1
0,6.42599,9,8,51,9,1,1,36,24,0,9,0,1,1,0,1.01,0,14,9,0,1
5,6.1094,40,9,106,5,1,5,10,46,2.03,14,3.2,2,2,2.03,0,6,0,5,2.42,1
0,4.76964,49,8,195,14,1,0,91,75,0,8,0,11,11,0,1.01,0,6,8,1.05,1
0,1.76682,3,0,11,3,1,2,3,3,0,2,0,3,3,0,0,1,12,3,0,1
0,4.33338,3,4,15,2,2,1,1,10,0,5,0,0,0,0,0,0,4,2,1.02,1
1,5.84059,2,2,7,1,1,0,0,4,0,2,0,0,0,0,1.01,1,6,1,0,1
0,1.77712,5,3,17,4,1,8,6,11,2.02,11,0,2,0,7.07,0,1,6,3,0,1
1,4.30172,10,1,50,4,1,1,6,14,0,2,0,1,0,0,1.01,1,6,2,0,1
2,1.76682,2,2,11,2,1,2,1,6,0,4,0,1,1,0,0,2,0,2,1.01,1
35,37.6698,239,35,876,38,2,2,703,599,10.15,37,22.62,11,8,10.15,4.18,40,23,3,31.17,0
0,2.84822,12,11,60,11,5,1,55,35,0,12,0,2,0,0,2.04,3,80,8,1.06,1
0,9.46033,8,3,31,3,2,8,3,17,0,11,0,0,0,3.03,12.22,0,69,0,1.01,1
1,0,3,1,10,2,2,1,1,4,0,2,0,0,0,0,1.01,1,29,2,0,1
0,4.40148,8,4,37,4,2,0,6,26,6.07,4,1.13,0,0,6.07,3.05,0,9,1,1.1,1
4,10.786,20,3,66,10,5,0,45,32,2.02,3,2.23,2,2,2.02,2.03,5,16,7,3.53,1
2,5.62327,17,2,62,3,2,1,3,23,1.02,3,1.16,4,4,1.02,1.01,3,6,2,2.49,1
5,18.2209,5,1,10,1,1,1,0,9,8.12,2,6.64,0,0,9.21,1.01,5,6,1,6.29,1
3,14.266,7,5,64,5,4,1,10,30,1.01,6,2.05,3,3,1.01,4.1,5,47,5,4.16,1
3,3.18671,2,0,6,2,2,1,1,2,0,1,0,0,0,0,0,3,10,1,0,1
4,5.96006,16,4,58,11,2,2,55,22,2.03,6,3.08,3,3,2.03,0,6,12,10,4.1,1
1,11.3595,9,1,23,9,4,21,36,12,0,22,1.01,1,0,7.11,5.36,3,63,1,2.03,1
11,19.6298,25,13,198,13,1,3,78,82,4.07,14,4.23,12,12,6.08,1.01,12,6,6,8.56,0
2,4.58578,10,6,59,9,2,2,36,35,1.01,8,1.15,0,0,1.01,2.07,3,28,4,3.57,1
1,5.98276,3,1,10,1,1,3,0,7,1.01,4,0,0,0,1.01,1.01,1,6,1,0,1
0,8.62632,6,0,22,2,1,1,1,6,0,1,2.2,0,0,0,0,0,0,1,3.04,1
0,4.83769,7,2,24,4,1,11,6,16,0,13,1.07,5,5,7.08,1.01,0,6,2,2.19,1
3,3.82071,22,3,63,8,2,1,28,26,1.01,4,2.04,7,7,1.01,0,3,36,6,3.07,1
2,16.9512,15,2,51,10,1,2,45,20,1.01,2,1.01,3,2,1.01,0,2,0,7,1.05,0
1,8.48552,20,8,95,15,5,5,105,45,1.01,13,3.05,4,4,3.03,3.06,2,80,13,2.23,1
1,5.74856,9,2,28,9,7,1,36,14,1.02,3,3.23,1,1,1.02,6.93,2,520,9,3.37,1
0,1.76682,12,9,73,7,3,1,21,35,0,10,0,4,4,0,0,0,1,5,0,1
0,4.55719,13,5,39,2,2,1,1,24,0,6,1.04,0,0,0,1.05,2,11,1,2.14,1
17,27.3621,61,7,181,21,2,27,210,95,8.24,34,17.23,2,1,20.75,2.06,17,11,6,20.43,1
3,12.0882,10,1,54,6,1,1,15,23,1.01,2,2.03,2,2,3.03,0,3,0,2,1.04,1
1,4.38535,40,8,147,19,5,1,171,70,0,9,2.14,2,2,0,2.05,2,137,17,3.5,1
5,17.6967,35,16,176,9,1,2,36,98,2.07,18,4.25,5,5,3.09,1.01,5,6,2,5.52,1
2,5.02919,20,7,96,16,4,2,120,47,1.03,9,1.08,2,2,1.03,1.07,4,39,7,2.03,1
0,3.19695,8,1,17,7,1,0,21,9,0,1,0,0,0,0,1.01,0,6,7,0,1
21,31.2801,79,17,338,20,1,9,190,171,13.49,24,25.81,3,3,17.67,1.01,28,6,9,30.66,0
0,1.77712,4,3,15,2,1,1,1,10,0,3,0,1,1,0,0,0,0,2,1.01,1
1,7.38689,23,11,65,5,3,2,10,37,0,13,0,1,1,0,3.03,2,21,3,1.06,1
0,3.15241,11,7,50,2,2,1,1,19,0,8,0,0,0,0,0,1,11,1,1.01,1
20,34.2777,6,1,33,5,1,4,10,15,1.01,5,1.02,233,9,6.07,1.01,34,6,2,8.18,0
0,7.00075,4,0,10,5,1,2,10,5,1.03,2,1.28,0,0,3.05,0,0,0,1,1.67,1
0,3.45817,24,6,108,9,1,1,36,67,0,7,0,4,4,0,1.01,0,6,6,1.03,1
0,6.41569,5,0,18,6,1,9,15,9,0,9,0,2,2,2.03,1.01,0,6,5,0,1
3,11.2037,14,8,123,9,2,1,36,43,1.01,9,1.03,4,3,1.01,0,3,6,5,3.53,1
0,4.64887,4,1,10,3,2,1,3,6,0,2,0,0,0,0,2.02,0,29,2,0,1
9,29.4386,42,22,325,24,3,1,276,174,6.15,23,11.35,7,7,6.15,4.06,13,23,10,16.65,0
1,14.8324,10,2,52,6,1,1,15,19,1.01,3,2.05,4,4,2.02,0,1,0,2,1.04,1
3,10.9766,7,7,37,6,2,0,15,27,2.02,7,3.06,0,0,2.02,0,5,7,2,3.13,1
2,13.1037,20,6,57,12,7,4,66,37,1.01,9,7.2,3,3,3.03,8.13,2,115,9,8.29,1
0,3.94798,13,3,36,8,2,21,28,13,0,24,0,3,3,1.01,0,2,12,8,1.03,1
7,13.8673,59,10,210,18,1,3,153,103,3.08,12,6.21,7,7,3.08,1.01,8,6,7,7.79,1
0,4.41258,20,1,97,20,2,3,190,25,0,4,2.07,8,8,1.02,2.07,1,35,20,3.29,1
