numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
1,15.6356,4,5,17,0,5,1,6,10,13,3.04,10,5.1,0,4.06,1.01,3,8,5,3.1,1
2,3.0444,25,5,99,0,9,1,4,36,44,1.02,9,2.04,3,1.02,0,3,38,5,2.09,1
5,11.6607,27,4,65,69,8,3,1,28,21,0,4,2.06,0,0,4.04,6,37,2,2.06,0
8,7.95479,23,4,87,95,14,3,5,91,45,0,9,0,3,1.01,2.02,9,76,5,0,1
31,24.7695,181,25,691,12,19,1,6,171,244,9.12,29,16.55,13,10.14,1.01,35,8,7,18.87,1
1,6.37753,3,0,12,0,3,2,3,3,8,0,3,0,1,0,1.01,1,10,3,0,1
3,7.68944,0,0,0,6,1,4,1,0,1,0,1,0,5,0,4.06,4,21,1,0,1
3,6.6689,19,3,71,1,7,2,4,21,24,1.01,7,2.06,5,4.04,1.01,3,12,6,1.17,1
1,3.29051,1,1,4,2,1,2,1,0,2,0,2,0,0,0,3.08,1,33,1,0,1
1,4.07501,5,2,21,1,3,3,1,3,5,0,3,0,3,0,1.01,1,31,3,0,1
2,10.4982,14,7,50,0,4,1,0,6,28,0,7,1.01,2,0,0,3,0,3,1.03,1
1,6.20089,5,3,24,397,4,5,1,6,16,0,4,1.03,0,0,3.03,2,64,4,1.03,1
0,4.07501,14,3,49,0,8,2,1,28,21,0,4,0,7,0,1.01,0,26,8,0,1
12,14.4964,26,14,102,22,9,3,2,36,61,2.03,16,3.04,2,2.03,4.04,12,78,1,1.05,1
9,7.95479,25,5,96,95,15,3,1,105,51,0,5,0,5,0,3.05,10,73,6,0,1
1,8.93874,14,3,67,0,10,1,12,45,15,1.03,15,1.27,3,3.1,1.01,2,8,9,2.77,1
3,1.84991,25,5,140,0,5,1,1,10,28,0,5,2.06,11,0,0,3,16,4,2.2,1
0,4.07501,4,2,17,387,3,5,1,3,10,0,3,0,2,0,5.06,0,75,3,0,1
21,22.443,85,16,256,68,11,2,1,55,60,4.04,16,7.15,1,4.04,4.04,26,33,4,9.51,0
0,3.5829,7,1,28,0,4,1,1,6,12,0,2,0,3,0,0,0,10,3,0,1
16,10.6845,61,5,270,0,11,1,2,55,32,0,6,1.01,36,0,1.01,18,8,11,2.09,1
6,8.14156,20,3,66,0,38,1,50,703,60,0,51,3.28,8,3.12,1.01,6,8,38,2.24,1
14,23.1815,69,15,198,408,8,3,7,28,59,2.02,21,6.11,2,2.02,2.02,17,58,8,10.53,0
6,15.7259,23,13,81,69,14,7,3,91,59,7.16,14,7.72,0,6.16,15.4,9,229,11,7.62,0
0,4.07501,15,2,52,0,8,1,10,28,21,0,12,0,1,0,1.01,0,8,8,0,1
3,6.92698,12,5,50,38,9,3,1,36,28,0,6,2.03,0,0,1.03,3,116,5,1.01,1
3,3.92315,20,2,56,6,8,2,1,28,17,0,3,0,0,0,0,3,11,8,0,1
4,6.84846,26,7,98,99,17,4,1,136,57,1.01,7,0,5,1.01,3.03,6,100,1,0,1
0,4.07501,1,0,3,2,1,2,2,0,1,0,2,0,0,0,3.08,0,33,1,0,1
32,27.7744,150,35,629,0,16,1,3,120,174,5.05,38,8.26,10,5.05,1.01,36,9,5,15.16,1
4,8.18073,2,1,6,0,2,1,0,1,3,0,1,1.06,1,0,2.04,5,9,2,1.09,1
1,2.96868,5,2,15,95,5,2,0,10,13,0,2,1.09,0,0,2.02,2,68,4,1.09,1
0,4.08525,5,0,27,152,5,2,5,10,6,1.01,5,0,1,1.01,1.01,0,41,4,1.05,1
7,7.95479,27,5,108,95,16,3,2,120,59,0,7,0,7,0,2.02,8,73,6,0,1
4,14.6865,6,3,19,0,3,1,0,3,8,0,3,2.03,1,0,1.01,5,8,1,3.12,1
48,24.6967,182,93,804,0,122,1,49,7381,347,6.09,108,7.41,17,10.26,1.01,66,8,96,5.85,1
22,12.8915,102,5,393,0,13,1,2,78,67,2.02,6,2.04,10,2.02,1.01,24,8,4,3.18,1
2,4.07501,1,0,4,0,1,1,0,0,1,0,0,0,3,0,2.03,2,23,1,0,1
9,13.6626,8,4,30,0,10,1,4,45,20,1.01,7,4.1,0,2.02,1.01,11,8,9,4.11,1
52,33.9297,175,26,526,68,20,2,1,190,176,8.08,26,17.08,4,8.08,4.04,57,33,5,18.07,0
9,8.29017,85,8,368,8,29,3,2,406,114,1.01,9,1.01,4,1.01,2.02,10,41,23,1.03,1
200,48.7643,972,30,2877,249,76,1,131,2850,836,7.07,144,56.39,13,15.19,1.01,214,8,60,64.23,0
4,9.8326,35,6,110,385,8,6,0,28,25,1.01,6,1.01,3,1.01,5.06,4,79,8,1.02,1
1,1.08792,20,6,57,0,12,2,4,66,30,0,9,1.04,2,0,1.02,2,5,10,1.09,1
9,9.5041,30,8,90,22,5,3,1,10,34,1.01,9,1.01,0,1.01,4.04,10,78,0,0,1
8,15.9473,20,15,83,25,7,3,2,21,49,4.07,17,5.25,2,4.07,4.08,8,82,3,4.24,1
4,6.62651,23,6,60,396,8,4,4,28,27,1.04,10,2.09,2,2.04,3.03,5,57,7,2.12,1
5,8.6615,6,2,16,3,4,4,2,6,7,1.01,4,2.05,1,3.03,4.13,6,38,4,1.12,0
19,23.2611,104,17,364,380,15,3,10,105,127,2.02,26,9.3,13,3.03,2.02,21,46,14,8.61,0
1,6.77104,12,0,36,152,12,2,4,66,14,1.01,4,1.02,1,3.04,1.01,1,41,11,2.05,1
6,8.87298,104,11,404,50,40,4,2,780,162,0,13,2.1,13,0,1.04,6,189,23,0,1
2,10.9131,20,9,122,8,6,2,1,15,34,0,9,0,1,0,2.03,3,19,5,3.06,1
1,6.86677,4,0,12,5,5,1,1,10,5,0,1,0,0,0,1.01,1,14,5,0,1
8,7.95479,19,3,75,95,13,3,1,78,39,0,4,0,4,0,2.02,9,73,4,0,1
14,13.3833,45,11,192,380,6,3,0,15,69,0,11,2.07,6,0,2.02,15,38,6,4.12,1
5,10.2014,34,7,158,4,11,2,0,55,34,1.01,7,1.08,9,1.01,3.05,6,33,11,1.46,1
1,1.70656,3,1,12,0,3,1,1,3,8,0,2,0,1,0,0,1,0,3,0,1
74,41.1012,291,13,747,4,27,2,1,351,249,6.08,13,35.22,0,7.09,12.18,80,44,2,41.84,0
1,4.07501,16,3,50,0,8,1,1,28,17,0,4,0,4,0,1.01,1,8,8,0,1
0,4.07501,4,1,40,0,4,1,12,6,8,0,13,0,0,1.01,1.01,0,8,4,0,1
0,1.27976,10,0,42,0,2,1,2,1,2,0,2,0,13,0,0,1,8,2,0,1
13,4.55853,2,1,16,0,2,1,1,1,4,0,2,0,12,0,1.01,13,8,2,1.01,1
8,6.84846,35,6,125,97,17,3,3,136,63,0,9,0,7,0,3.03,11,84,3,0,1
39,27.3399,168,18,547,384,22,5,2,231,197,4.04,20,16.58,10,4.11,4.05,43,85,22,21.39,0
0,4.07501,5,1,23,1,3,3,1,3,5,0,2,0,3,0,1.01,0,31,3,0,1
7,7.95479,25,3,97,95,15,3,1,105,48,0,4,0,5,1.01,3.05,8,73,5,0,1
14,22.2757,6,4,34,37,5,3,4,10,13,2.02,7,2.04,1,4.05,7.13,14,72,5,3.09,1
18,15.7278,99,38,525,0,36,2,3,630,252,4.12,40,7.93,15,5.13,2.03,22,36,16,8.97,0
2,9.52046,6,1,23,70,5,7,3,10,9,0,3,2.03,1,1.01,11.35,2,255,4,2.07,1
0,6.70721,4,0,15,0,3,1,2,3,7,0,2,1.05,2,0,2.03,1,23,3,1.09,1
7,8.73596,19,9,67,68,11,5,3,55,41,1.02,12,1.06,0,1.02,11.29,7,199,7,1.11,1
33,30.2239,226,28,687,262,29,2,21,406,280,3.03,44,15.46,13,3.03,7.07,34,80,10,17.96,0
1,4.07501,45,2,311,0,3,1,2,3,15,1.01,4,0,14,1.01,1.01,1,8,2,0,1
1,0,6,5,21,71,6,5,1,15,14,0,6,0,2,0,1.01,1,279,6,0,1
2,9.45026,49,7,276,0,24,1,9,276,79,1.01,16,3.18,7,2.07,1.02,2,16,16,3.31,1
8,7.95479,27,5,107,95,14,3,1,91,53,0,6,0,5,0,2.02,9,73,5,0,1
18,20.5292,67,7,235,39,31,1,1,465,82,3.04,8,6.18,5,3.04,2.02,20,30,26,5.4,1
0,4.07501,5,2,22,1,3,3,1,3,6,0,3,0,3,0,1.01,0,31,3,0,1
7,12.1787,30,13,207,8,6,2,1,15,58,1.01,13,3.09,1,1.01,2.03,10,19,5,5.33,1
15,20.2492,56,13,195,384,6,4,3,15,75,1.01,16,5.09,2,1.01,5.06,17,69,6,8.15,1
7,6.84846,29,5,101,95,16,3,1,120,54,1.01,5,0,8,1.01,2.02,8,73,6,0,1
61,39.6428,1542,25,6017,0,306,1,68,46665,1603,4.05,86,24.99,42,6.12,1.01,66,8,290,37.22,0
6,17.8759,38,21,124,34,8,3,0,28,78,3.06,21,5.22,1,3.06,4.04,8,78,1,3.26,1
5,4.98774,2,0,9,0,2,1,2,1,2,0,2,2.03,4,1.01,1.01,6,8,2,2.15,1
1,6.77104,27,0,55,152,12,2,5,66,14,1.01,5,2.03,16,3.05,1.01,1,41,11,2.23,1
1,3.9771,26,2,79,0,7,1,2,21,17,0,4,0,4,0,1.01,1,8,6,1.09,1
2,2.50744,16,3,33,5,4,3,2,6,11,0,5,0,4,0,2.03,3,31,2,0,1
3,10.0398,25,4,67,68,7,2,1,21,18,0,4,1.04,1,0,4.04,4,33,4,2.16,0
0,4.07501,4,3,16,1,3,3,3,3,8,0,6,0,2,0,1.01,0,31,2,0,1
30,28.8029,89,33,426,0,21,1,9,210,170,3.07,41,10.34,19,8.17,1.01,38,8,15,13.94,0
4,5.87361,6,3,23,141,5,2,1,10,13,0,4,1.02,2,0,2.02,5,35,5,2.02,1
7,9.97058,4,0,13,3,4,4,1,6,4,0,1,3.03,3,0,4.13,9,38,4,3.08,0
3,7.99656,15,5,40,419,3,7,1,3,23,0,6,1.03,0,0,5.07,3,115,3,1.06,1
1,3.9771,33,3,122,0,10,1,14,45,26,0,17,1.01,4,2.03,1.02,1,16,9,2.15,1
0,1.06049,17,3,35,14,5,4,1,10,14,0,4,0,1,0,2.06,0,60,1,0,1
9,8.50274,34,1,111,0,25,1,10,300,38,1.01,11,2.09,13,4.09,1.01,13,8,25,3.28,1
1,6.44569,11,0,43,0,11,1,1,55,11,0,1,0,0,0,1.01,2,8,0,0,1
5,7.95479,16,3,59,95,12,3,1,66,35,0,4,0,3,0,2.02,6,73,3,0,1
11,20.7216,94,13,308,274,10,3,5,45,118,3.03,18,4.33,0,3.03,9.09,11,103,10,6.11,0
6,6.89725,8,2,62,0,3,2,1,3,14,0,3,0,1,0,1.01,6,13,1,0,1
66,35.6247,256,20,866,49,51,4,19,1275,296,9.1,35,26.28,10,14.27,24.4,69,151,46,33.28,0
15,24.0421,74,10,251,34,23,3,32,253,64,4.04,39,9.32,1,5.05,4.04,16,24,23,11.15,0
29,22.8522,134,23,784,381,13,4,3,78,256,3.04,26,13.04,28,3.06,3.04,31,46,12,17.03,0
77,33.5493,271,22,952,6,58,2,1,1653,361,9.14,22,31.13,16,10.16,7.08,89,67,57,31.73,0
12,11.4634,10,4,29,384,4,4,2,6,16,0,6,1.01,0,0,2.02,13,48,4,1.01,1
25,22.1081,246,15,724,8,36,3,7,630,210,2.02,22,8.68,23,5.06,6.09,27,37,28,14.62,1
15,19.8678,60,10,189,380,4,2,8,6,78,1.02,18,7.37,4,4.05,2.02,16,27,4,9.79,1
1,7.01353,8,7,38,2,6,3,0,15,22,1.04,7,2.08,1,1.03,2.17,1,17,6,1.05,1
2,7.25379,22,3,89,0,8,1,5,28,43,2.02,8,2.1,1,2.02,1.01,2,12,6,2.28,1
0,4.07501,3,0,11,384,3,5,1,3,3,0,1,0,1,0,5.06,0,76,3,0,1
5,11.0731,6,2,24,35,4,4,1,6,8,0,3,2.03,1,0,3.05,5,47,4,3.08,1
4,10.4485,17,2,63,95,12,2,2,66,32,0,4,0,3,0,2.02,5,68,3,0,1
6,6.84846,43,8,170,97,21,3,2,210,88,0,9,0,9,2.02,3.03,8,84,8,0,1
0,4.07501,1,0,3,0,1,1,0,0,1,0,0,0,9,0,2.03,0,22,1,0,1
0,4.07501,1,0,3,2,1,2,1,0,1,0,1,0,0,0,3.08,0,33,1,0,1
0,4.07501,8,2,26,4,7,2,1,21,10,0,3,0,1,0,3.05,0,33,7,0,1
4,7.88266,43,2,156,0,10,1,2,45,33,2.02,4,2.07,13,2.03,1.08,4,8,10,3.25,1
7,15.0958,27,16,126,25,10,3,4,45,83,3.07,20,3.46,3,3.07,4.08,8,82,2,4.59,0
8,7.95479,19,3,72,95,12,3,9,66,37,0,12,0,3,1.01,2.02,9,76,3,0,1
7,7.95479,19,3,72,95,12,3,1,66,37,0,3,0,3,0,3.05,8,73,3,0,1
1,4.07501,10,4,42,0,6,2,4,15,14,0,8,0,6,0,1.01,1,23,5,0,1
8,12.9551,23,7,75,5,9,1,4,36,31,2.02,10,5.09,6,1.01,2.02,8,13,9,3.25,1
23,27.4521,118,16,357,384,10,4,19,45,94,3.09,33,10.41,5,8.23,5.06,26,69,9,13.03,0
115,40.4352,344,50,1607,63,98,4,52,4753,664,8.09,94,23.97,9,17.25,8.21,128,177,76,31.91,0
67,39.1311,456,32,1461,49,51,4,32,1275,446,3.03,55,23.53,15,7.07,24.4,74,148,43,31.61,0
6,7.3557,17,9,75,384,4,4,0,6,29,1.02,9,1.02,0,1.02,2.02,6,41,4,2.04,1
8,17.2339,25,6,91,384,11,5,1,55,38,1.02,7,4.2,1,1.02,8.09,9,87,7,4.42,1
9,7.95479,27,5,106,95,14,3,1,91,53,0,6,0,5,0,2.02,10,73,5,0,1
1,4.07501,15,2,59,5,8,2,4,28,26,0,6,0,2,0,1.01,1,13,8,0,1
3,8.50582,14,3,51,2,6,3,1,15,20,1.01,4,1.06,3,1.01,1.01,3,19,5,1.06,1
1,4.07501,9,2,23,394,3,6,1,3,11,0,3,0,0,0,7.09,1,107,3,0,1
16,18.4276,63,13,329,201,16,1,4,120,108,3.08,16,5.62,214,4.08,1.01,16,8,11,5.29,0
9,15.1101,87,11,222,68,12,2,1,66,71,1.04,11,5.49,1,1.04,4.04,12,33,4,5.39,0
4,1.66466,6,3,20,9,6,3,1,15,11,1.04,4,2.28,1,1.04,2.19,5,42,5,2.6,1
3,8.0715,13,2,42,384,8,4,10,28,18,1.02,12,2.05,0,1.02,5.06,3,69,8,2.15,0
11,14.2655,5,1,38,0,5,1,1,10,9,1.01,2,1.01,4,3.03,1.01,13,8,5,3.23,1
14,19.9756,66,10,198,12,9,1,1,36,65,5.06,11,7.25,2,4.05,1.01,18,11,5,9.06,1
4,9.14442,39,9,255,19,7,2,1,21,77,0,9,0,0,0,1.01,4,15,0,1.01,1
2,4.07501,13,1,44,0,10,1,3,45,19,0,4,0,2,0,1.01,2,8,9,0,1
22,26.0554,75,10,370,9,18,2,2,153,110,6.12,12,11.97,10,6.12,2.02,31,10,5,18.31,1
23,15.3647,207,17,768,135,24,3,1,276,169,2.02,18,4.13,8,2.02,5.07,26,67,2,7.53,1
25,25.3215,117,20,414,392,9,5,2,36,153,5.05,22,10.53,2,5.05,5.06,25,93,9,12.04,0
0,6.65212,5,2,25,3,4,3,3,6,7,1.01,5,1.01,1,1.01,2.04,2,17,1,0,1
2,9.27985,14,3,38,394,3,6,1,3,16,1.01,4,2.06,1,1.01,7.09,3,107,3,2.2,1
0,0,16,5,56,52,11,4,6,55,30,0,10,0,3,0,1.02,1,128,9,0,0
10,20.293,38,7,166,37,4,3,1,6,34,2.02,7,4.07,16,2.02,7.13,10,72,3,3.08,0
3,6.70304,28,6,109,95,17,2,3,136,60,0,8,0,7,0,2.02,3,68,7,0,1
0,2.57445,36,3,103,0,10,1,21,45,27,0,24,1.04,3,5.07,0,0,16,9,1.14,1
18,14.5995,206,18,657,0,61,1,135,1830,209,0,150,1.02,102,15.41,1.01,26,8,26,1.03,1
10,7.95479,29,5,117,95,17,3,1,136,61,0,6,0,9,0,2.02,11,73,7,0,1
7,17.8093,41,7,136,18,12,2,1,66,63,2.03,8,6.25,4,2.03,5.08,9,18,9,6.57,1
0,4.07501,1,0,3,0,1,1,0,0,1,0,0,0,1,0,2.03,0,22,1,0,1
1,8.43551,16,2,45,388,5,5,4,10,13,0,6,2.02,1,2.03,7.09,2,78,5,2.13,1
7,7.95479,19,4,72,95,12,3,1,66,39,0,5,0,3,0,2.02,8,73,3,0,1
7,8.7196,17,10,59,28,6,4,2,15,27,0,12,2.03,1,0,4.1,7,91,2,1.06,1
8,11.9751,14,11,57,25,7,3,2,21,31,2.03,13,3.06,1,2.03,4.08,8,82,3,2.09,1
0,0,0,0,0,0,5,1,2,10,5,0,2,0,0,0,0,1,8,5,0,1
1,0,3,1,13,68,3,6,2,3,5,0,2,0,2,0,0,1,210,3,0,1
9,10.0587,63,23,190,6,16,2,1,120,100,3.14,24,6.5,4,3.14,1.01,11,24,14,5.8,0
1,5.53745,6,2,25,0,4,2,2,6,7,0,4,0,4,0,1.01,1,21,3,0,1
4,8.58816,85,14,328,50,39,4,2,741,195,0,15,2.11,4,0,1.04,4,176,13,0,1
2,6.07783,10,6,28,0,4,2,2,6,14,0,7,0,7,0,1.01,3,13,3,0,1
4,12.52,19,1,63,385,11,6,2,55,24,1.01,3,3.08,8,2.02,8.1,5,95,10,3.3,1
49,37.0956,308,12,840,41,77,3,96,2926,290,4.06,102,21.73,11,23.31,14.2,50,72,69,30.14,0
1,3.29051,1,0,3,2,1,2,1,0,1,0,1,0,0,0,3.08,1,33,1,0,1
34,27.5325,215,23,706,19,21,2,2,210,322,3.03,24,13.87,9,3.04,6.15,39,37,2,14.93,0
2,7.06348,35,11,163,0,15,2,1,105,88,1.01,12,3.06,5,1.01,1.01,3,19,3,3.15,1
1,6.77104,13,0,40,152,12,2,4,66,14,0,4,2.03,2,2.03,1.01,1,41,11,2.09,1
45,32.4393,293,33,947,49,37,4,7,666,297,5.13,37,21.19,9,7.16,24.4,46,148,24,25.67,0
4,8.98775,107,13,356,0,31,1,1,465,181,0,14,2.05,15,0,0,7,8,20,2.13,1
6,16.2655,6,0,18,0,8,1,91,28,10,0,91,1.01,28,19.24,1.01,7,8,8,1.03,1
1,4.07501,7,1,25,0,3,1,2,3,5,0,3,0,5,0,1.01,1,8,1,0,1
3,4.63008,34,5,115,507,7,8,3,21,24,2.02,8,2.04,3,2.02,6.08,3,120,7,3.29,0
5,6.98868,36,13,167,19,6,3,1,15,51,1.01,14,4.12,3,1.01,1.01,5,67,1,4.2,1
3,6.49924,68,5,235,0,13,1,5,78,70,1.01,10,0,0,2.02,0,3,8,10,0,1
2,8.12446,4,0,12,8,5,5,3,10,6,0,3,1.01,2,0,3.05,3,33,3,1.03,1
15,21.0952,61,7,190,40,24,3,19,276,70,2.02,24,5.27,6,6.06,14.2,16,71,24,6.82,1
3,7.56809,19,8,52,2,8,2,0,28,34,1.01,8,1.1,0,1.01,3.05,3,18,5,1.15,1
17,14.2097,32,11,163,380,6,3,0,15,60,0,11,6.12,5,0,2.02,17,38,6,6.37,1
36,29.7618,118,29,437,408,15,3,6,105,145,3.05,33,8.16,2,3.05,2.02,40,58,14,11.48,0
0,1.70656,1,1,4,0,1,1,1,0,2,0,2,0,2,2.02,2.03,0,23,1,0,1
0,4.07501,9,3,30,8,3,2,2,3,10,0,5,0,0,0,2.03,0,19,3,0,1
51,33.6845,234,18,760,380,33,3,92,528,281,4.04,108,22.7,4,11.14,2.02,57,38,31,23.41,1
0,4.65831,8,2,30,0,5,1,2,10,10,0,3,0,2,1.02,0,0,8,4,1.07,1
4,4.01609,18,1,56,405,8,6,1,28,26,0,2,1.07,2,0,8.09,4,100,8,1.16,1
8,14.2639,108,17,469,0,11,1,2,55,159,3.05,18,7.25,8,3.04,0,11,8,6,11.67,0
1,2.36846,12,3,48,3,9,2,1,36,25,0,4,0,3,0,2.02,1,27,0,0,1
1,0,2,0,7,54,2,5,2,1,3,0,2,0,1,0,0,1,143,2,0,1
0,4.07501,10,3,38,0,8,2,1,28,15,0,4,0,7,0,1.01,0,26,8,0,1
4,13.45,17,11,76,384,6,6,1,15,27,2.02,12,2.03,2,2.02,4.05,4,91,6,3.12,1
0,4.07501,5,2,21,1,3,3,1,3,5,0,3,0,3,0,1.01,0,31,3,0,1
10,6.84846,65,7,257,95,30,3,8,435,117,0,14,1.02,16,4.04,2.02,13,82,14,1.03,1
4,4.13346,17,7,61,97,16,3,11,120,35,0,18,0,2,4.07,3.03,6,84,9,1.02,1
6,1.69533,68,4,197,119,17,2,3,136,54,1.01,6,1.25,7,0,1.05,7,16,7,1.99,1
0,7.8386,4,2,22,410,3,4,1,3,9,1.01,3,0,0,1.01,2.02,1,66,3,0,1
4,7.95479,8,2,29,95,8,3,3,28,18,0,5,0,1,1.01,2.02,5,73,1,0,1
1,7.82241,1,0,3,0,1,1,6,0,1,0,6,0,1,1.01,2.03,1,22,1,0,1
3,5.07652,12,2,77,0,3,1,3,3,12,1.01,5,2.18,2,1.01,0,3,8,3,2.11,0
5,8.03932,28,5,109,95,15,2,1,105,56,1.02,5,1.03,5,1.01,2.02,6,68,6,1.03,1
0,4.07501,13,3,50,1,8,3,1,28,23,0,4,0,7,0,1.01,0,36,7,0,1
33,23.0587,121,39,480,69,48,6,6,1128,258,8.1,42,9.53,0,8.1,13.36,36,250,45,13.53,1
0,4.07501,1,0,3,2,1,2,2,0,1,0,2,0,0,0,3.08,0,33,1,0,1
0,4.07501,0,0,0,7,1,4,1,0,1,0,1,0,0,0,3.05,0,25,1,0,1
0,6.70304,5,0,18,0,5,1,2,10,5,0,2,0,4,0,1.02,0,16,5,0,1
4,8.58795,2,0,6,547,4,1,1,6,4,0,1,1.02,16,1.01,1.01,4,20,4,1.06,1
3,8.43424,41,7,128,0,20,1,2,190,78,0,8,3.07,3,1.01,1.01,3,8,14,3.15,1
0,4.07501,14,5,41,393,3,4,1,3,18,0,6,0,0,0,2.02,0,61,3,0,1
3,6.70304,10,5,38,386,4,6,2,6,22,1.01,7,1.04,0,1.01,8.1,3,95,3,1.07,1
10,19.6547,29,12,166,270,2,2,1,1,42,3.04,13,5.09,0,3.04,7.12,12,48,2,8.37,0
33,26.5988,225,7,841,0,42,1,30,861,294,1.01,36,7.29,54,13.17,1.01,37,8,26,7.99,0
4,11.2467,18,11,68,71,9,5,1,36,41,2.12,11,4.02,1,2.12,12,7,279,7,5.62,1
0,1.06049,13,4,26,14,5,4,1,10,12,0,4,0,1,0,2.06,0,59,1,0,1
26,16.4611,79,23,235,51,32,4,22,496,118,2.02,43,6.26,2,6.07,7.19,28,157,22,5.5,0
3,5.40022,7,3,31,1,4,3,1,6,10,0,4,0,3,0,1.01,3,32,3,0,1
32,25.1307,132,29,505,16,56,2,76,1540,225,6.16,102,12.96,23,15.36,1.01,36,18,35,15.28,0
1,3.9771,25,2,79,0,7,1,2,21,17,0,3,0,4,0,1.01,1,8,6,1.09,1
3,3.9771,11,2,79,8,3,2,1,3,19,1.01,3,1.02,4,0,2.03,5,19,3,1.01,1
5,7.76307,5,0,15,0,5,2,0,10,7,0,0,0,0,0,1.01,7,13,3,0,1
1,3.76257,37,2,143,0,10,1,1,45,39,0,3,0,4,0,1.01,1,8,7,1.11,1
19,16.967,92,16,327,35,35,3,27,595,177,3.03,38,6.41,0,10.15,7.14,22,83,19,9.93,1
0,4.07501,2,1,7,1,2,3,1,1,3,0,2,0,1,0,1.01,0,30,2,0,1
16,27.6193,262,4,845,0,34,1,137,561,91,2.02,141,7.25,3,35.59,1.01,20,8,34,12.92,1
57,37.7605,148,33,624,391,27,3,36,351,172,4.05,63,10.21,30,7.15,2.02,60,42,25,14.78,0
74,27.9911,1169,9,3449,114,50,1,38,1225,374,6.06,47,16.54,107,15.22,1.01,85,8,41,27.76,0
10,10.984,22,12,77,28,9,4,2,36,45,3.04,14,4.15,0,3.04,4.1,10,91,2,3.26,1
3,5.29522,10,6,38,386,6,7,1,15,17,0,7,0,0,0,4.05,3,97,6,0,0
0,4.07501,9,5,31,410,3,4,1,3,16,1.01,6,0,1,1.01,2.02,0,66,3,0,1
2,6.88643,20,6,71,385,8,6,2,28,34,0,8,1.02,5,1.01,8.1,2,95,7,1.06,1
0,4.07501,21,3,85,0,11,1,32,55,16,0,35,0,0,3.05,1.01,0,8,0,0,1
2,6.92698,3,0,9,37,3,4,1,3,3,0,1,1.01,0,0,4.04,2,85,1,0,1
16,16.4642,91,11,343,380,6,3,0,15,106,0,11,6.19,11,0,2.02,18,38,6,7.74,1
1,5.1154,4,1,13,0,3,1,2,3,4,0,3,0,1,0,1.01,1,8,2,0,1
